000000,s1_camera_offhand_1
M000187,s1_toruslarge_pick_all_m
000188,s1_pyramidmedium_inspect_1
M000188,s1_pyramidmedium_inspect_1_m
000189,s1_spheremedium_pass_1
M000189,s1_spheremedium_pass_1_m
000190,s1_alarmclock_offhand_1
M000190,s1_alarmclock_offhand_1_m
000191,s1_headphones_use_1
M000191,s1_headphones_use_1_m
000192,s1_banana_peel_1
M000192,s1_banana_peel_1_m
000193,s1_cylindermedium_inspect_1
M000193,s1_cylindermedium_inspect_1_m
000194,s1_bowl_pick_all
M000194,s1_bowl_pick_all_m
000195,s1_spheresmall_offhand_1
M000195,s1_spheresmall_offhand_1_m
000196,s1_piggybank_pass_1
M000196,s1_piggybank_pass_1_m
000197,s1_cup_drink_1
M000197,s1_cup_drink_1_m
000198,s4_stapler_pick_all
M000198,s4_stapler_pick_all_m
000199,s4_piggybank_pick_all
M000199,s4_piggybank_pick_all_m
000200,s4_binoculars_pick_all
M000200,s4_binoculars_pick_all_m
000201,s4_stapler_staple_2
M000201,s4_stapler_staple_2_m
000202,s4_wineglass_drink_2
M000202,s4_wineglass_drink_2_m
000203,s4_bowl_pass_1
M000203,s4_bowl_pass_1_m
000204,s4_stamp_stamp_1
M000204,s4_stamp_stamp_1_m
000205,s4_watch_pick_all
M000205,s4_watch_pick_all_m
000206,s4_cup_drink_2
M000206,s4_cup_drink_2_m
000207,s4_torusmedium_pick_all
M000207,s4_torusmedium_pick_all_m
000208,s4_binoculars_see_1
M000208,s4_binoculars_see_1_m
000209,s4_cylinderlarge_inspect_1
M000209,s4_cylinderlarge_inspect_1_m
000210,s4_hand_inspect_1
M000210,s4_hand_inspect_1_m
000211,s4_train_pick_all
M000211,s4_train_pick_all_m
000212,s4_pyramidmedium_pass_1
M000212,s4_pyramidmedium_pass_1_m
000213,s4_duck_pass_1
M000213,s4_duck_pass_1_m
000214,s4_toothpaste_pass_1
M000214,s4_toothpaste_pass_1_m
000215,s4_cylindersmall_pass_1
M000215,s4_cylindersmall_pass_1_m
000216,s4_watch_pass_1
M000216,s4_watch_pass_1_m
000217,s4_mouse_pass_1
M000217,s4_mouse_pass_1_m
000218,s4_stanfordbunny_pass_1
M000218,s4_stanfordbunny_pass_1_m
000219,s4_stapler_staple_1
M000219,s4_stapler_staple_1_m
000220,s4_mug_pass_1
M000220,s4_mug_pass_1_m
000221,s4_torussmall_pass_1
M000221,s4_torussmall_pass_1_m
000222,s4_phone_call_1
M000222,s4_phone_call_1_m
000223,s4_wineglass_toast_1
M000223,s4_wineglass_toast_1_m
000224,s4_train_pass_1
M000224,s4_train_pass_1_m
000225,s4_hammer_use_2
M000225,s4_hammer_use_2_m
000226,s4_spherelarge_pick_all
M000226,s4_spherelarge_pick_all_m
000227,s4_alarmclock_pick_all
M000227,s4_alarmclock_pick_all_m
000228,s4_cubemedium_pick_all
M000228,s4_cubemedium_pick_all_m
000229,s4_apple_pass_1
M000229,s4_apple_pass_1_m
000230,s4_wineglass_pick_all
M000230,s4_wineglass_pick_all_m
000231,s4_hand_pick_all
M000231,s4_hand_pick_all_m
000232,s4_doorknob_use_1
M000232,s4_doorknob_use_1_m
000233,s4_flashlight_pass_1
M000233,s4_flashlight_pass_1_m
000234,s4_apple_eat_1
M000234,s4_apple_eat_1_m
000235,s4_headphones_pass_1
M000235,s4_headphones_pass_1_m
000236,s4_cup_pour_1
M000236,s4_cup_pour_1_m
000237,s4_wineglass_pass_1
M000237,s4_wineglass_pass_1_m
000238,s4_doorknob_pick_all
M000238,s4_doorknob_pick_all_m
000239,s4_duck_inspect_1
M000239,s4_duck_inspect_1_m
000240,s4_hammer_use_1
M000240,s4_hammer_use_1_m
000241,s4_airplane_pass_1
M000241,s4_airplane_pass_1_m
000242,s4_cubesmall_pass_1
M000242,s4_cubesmall_pass_1_m
000243,s4_waterbottle_drink_1
M000243,s4_waterbottle_drink_1_m
000244,s4_binoculars_pass_1
M000244,s4_binoculars_pass_1_m
000245,s4_mouse_use_2
M000245,s4_mouse_use_2_m
000246,s4_bowl_drink_2
M000246,s4_bowl_drink_2_m
000247,s4_fryingpan_cook_2
M000247,s4_fryingpan_cook_2_m
000248,s4_scissors_pass_1
M000248,s4_scissors_pass_1_m
000249,s4_teapot_pour_2
M000249,s4_teapot_pour_2_m
000250,s4_stapler_pass_1
M000250,s4_stapler_pass_1_m
000251,s4_fryingpan_pass_1
M000251,s4_fryingpan_pass_1_m
000252,s4_bowl_drink_1
M000252,s4_bowl_drink_1_m
000253,s4_torusmedium_inspect_1
M000253,s4_torusmedium_inspect_1_m
000254,s4_camera_pick_all
M000254,s4_camera_pick_all_m
000255,s4_cylinderlarge_pick_all
M000255,s4_cylinderlarge_pick_all_m
000256,s4_spherelarge_inspect_1
M000256,s4_spherelarge_inspect_1_m
000257,s4_cubelarge_pick_all
M000257,s4_cubelarge_pick_all_m
000258,s4_flute_play_1
M000258,s4_flute_play_1_m
000259,s4_cup_pass_1
M000259,s4_cup_pass_1_m
000260,s4_piggybank_use_1
M000260,s4_piggybank_use_1_m
000261,s4_stamp_pick_all
M000261,s4_stamp_pick_all_m
000262,s4_elephant_inspect_1
M000262,s4_elephant_inspect_1_m
000263,s4_camera_takepicture_2
M000263,s4_camera_takepicture_2_m
000264,s4_watch_set_1
M000264,s4_watch_set_1_m
000265,s4_toruslarge_pass_1
M000265,s4_toruslarge_pass_1_m
000266,s4_mouse_use_1
M000266,s4_mouse_use_1_m
000267,s4_watch_set_2
M000267,s4_watch_set_2_m
000268,s4_pyramidlarge_pass_1
M000268,s4_pyramidlarge_pass_1_m
000269,s4_torussmall_pick_all
M000269,s4_torussmall_pick_all_m
000270,s4_cup_pick_all
M000270,s4_cup_pick_all_m
000271,s4_airplane_fly_1
M000271,s4_airplane_fly_1_m
000272,s4_stamp_pass_1
M000272,s4_stamp_pass_1_m
000273,s4_apple_pick_all
M000273,s4_apple_pick_all_m
000274,s4_cubemedium_inspect_1
M000274,s4_cubemedium_inspect_1_m
000275,s4_mug_drink_2
M000275,s4_mug_drink_2_m
000276,s4_waterbottle_pour_1
M000276,s4_waterbottle_pour_1_m
000277,s4_cylindersmall_pick_all
M000277,s4_cylindersmall_pick_all_m
000278,s4_wineglass_drink_1
M000278,s4_wineglass_drink_1_m
000279,s4_stanfordbunny_pick_all
M000279,s4_stanfordbunny_pick_all_m
000280,s4_hand_pass_1
M000280,s4_hand_pass_1_m
000281,s4_elephant_pass_1
M000281,s4_elephant_pass_1_m
000282,s4_alarmclock_see_1
M000282,s4_alarmclock_see_1_m
000283,s4_cylinderlarge_pass_1
M000283,s4_cylinderlarge_pass_1_m
000284,s4_fryingpan_cook_3
M000284,s4_fryingpan_cook_3_m
000285,s4_alarmclock_pass_1
M000285,s4_alarmclock_pass_1_m
000286,s4_cubemedium_pass_1
M000286,s4_cubemedium_pass_1_m
000287,s4_spheresmall_pick_all
M000287,s4_spheresmall_pick_all_m
000288,s4_phone_pass_1
M000288,s4_phone_pass_1_m
000289,s4_hammer_use_3
M000289,s4_hammer_use_3_m
000290,s4_stanfordbunny_inspect_1
M000290,s4_stanfordbunny_inspect_1_m
000291,s4_camera_pass_1
M000291,s4_camera_pass_1_m
000292,s4_toothbrush_pass_1
M000292,s4_toothbrush_pass_1_m
000293,s4_spheresmall_pass_1
M000293,s4_spheresmall_pass_1_m
000294,s4_phone_pick_all
M000294,s4_phone_pick_all_m
000295,s4_cubelarge_inspect_1
M000295,s4_cubelarge_inspect_1_m
000296,s4_gamecontroller_pass_1
M000296,s4_gamecontroller_pass_1_m
000297,s4_spheremedium_inspect_1
M000297,s4_spheremedium_inspect_1_m
000298,s4_banana_pass_1
M000298,s4_banana_pass_1_m
000299,s4_camera_takepicture_3
M000299,s4_camera_takepicture_3_m
000300,s4_spheremedium_pick_all
M000300,s4_spheremedium_pick_all_m
000301,s4_spherelarge_pass_1
M000301,s4_spherelarge_pass_1_m
000302,s4_fryingpan_cook_1
M000302,s4_fryingpan_cook_1_m
000303,s4_train_play_1
M000303,s4_train_play_1_m
000304,s4_cubelarge_pass_1
M000304,s4_cubelarge_pass_1_m
000305,s4_waterbottle_shake_1
M000305,s4_waterbottle_shake_1_m
000306,s4_pyramidmedium_inspect_1
M000306,s4_pyramidmedium_inspect_1_m
000307,s4_spheremedium_pass_1
M000307,s4_spheremedium_pass_1_m
000308,s4_headphones_use_1
M000308,s4_headphones_use_1_m
000309,s4_piggybank_pass_1
M000309,s4_piggybank_pass_1_m
000310,s4_cup_drink_1
M000310,s4_cup_drink_1_m
000311,s3_cylinderlarge_pick_all_Retake
M000311,s3_cylinderlarge_pick_all_Retake_m
000312,s3_camera_offhand_1
M000312,s3_camera_offhand_1_m
000313,s3_stapler_pick_all
M000313,s3_stapler_pick_all_m
000314,s3_apple_offhand_1
M000314,s3_apple_offhand_1_m
000315,s3_binoculars_pick_all
M000315,s3_binoculars_pick_all_m
000316,s3_mouse_offhand_1
M000316,s3_mouse_offhand_1_m
000317,s3_wineglass_drink_2
M000317,s3_wineglass_drink_2_m
000318,s3_pyramidlarge_inspect_1
M000318,s3_pyramidlarge_inspect_1_m
000319,s3_stamp_stamp_1
M000319,s3_stamp_stamp_1_m
000320,s3_waterbottle_pick_all
M000320,s3_waterbottle_pick_all_m
000321,s3_cup_drink_2
M000321,s3_cup_drink_2_m
000322,s3_elephant_offhand_1
M000322,s3_elephant_offhand_1_m
000323,s3_toothpaste_squeeze_1
M000323,s3_toothpaste_squeeze_1_m
000324,s3_binoculars_offhand_1
M000324,s3_binoculars_offhand_1_m
000325,s3_binoculars_see_1
M000325,s3_binoculars_see_1_m
000326,s3_mug_drink_4
M000326,s3_mug_drink_4_m
000327,s3_cylinderlarge_inspect_1
M000327,s3_cylinderlarge_inspect_1_m
000328,s3_cylindersmall_inspect_1
M000328,s3_cylindersmall_inspect_1_m
000329,s3_flute_offhand_1
M000329,s3_flute_offhand_1_m
000330,s3_cup_offhand_1
M000330,s3_cup_offhand_1_m
000331,s3_eyeglasses_offhand_1
M000331,s3_eyeglasses_offhand_1_m
000332,s3_train_pick_all
M000332,s3_train_pick_all_m
000333,s3_pyramidmedium_pass_1
M000333,s3_pyramidmedium_pass_1_m
000334,s3_toothpaste_pass_1
M000334,s3_toothpaste_pass_1_m
000335,s3_airplane_offhand_1
M000335,s3_airplane_offhand_1_m
000336,s3_toothpaste_pick_all
M000336,s3_toothpaste_pick_all_m
000337,s3_cylindersmall_pass_1
M000337,s3_cylindersmall_pass_1_m
000338,s3_pyramidlarge_offhand_1
M000338,s3_pyramidlarge_offhand_1_m
000339,s3_pyramidsmall_pass_1
M000339,s3_pyramidsmall_pass_1_m
000340,s3_eyeglasses_pass_1
M000340,s3_eyeglasses_pass_1_m
000341,s3_watch_pass_1
M000341,s3_watch_pass_1_m
000342,s3_mouse_pass_1
M000342,s3_mouse_pass_1_m
000343,s3_stanfordbunny_pass_1
M000343,s3_stanfordbunny_pass_1_m
000344,s3_stapler_staple_1
M000344,s3_stapler_staple_1_m
000345,s3_mug_pass_1
M000345,s3_mug_pass_1_m
000346,s3_phone_call_1
M000346,s3_phone_call_1_m
000347,s3_wineglass_toast_1
M000347,s3_wineglass_toast_1_m
000348,s3_train_pass_1
M000348,s3_train_pass_1_m
000349,s3_hammer_use_2
M000349,s3_hammer_use_2_m
000350,s3_alarmclock_pick_all
M000350,s3_alarmclock_pick_all_m
000351,s3_cylindermedium_pick_all
M000351,s3_cylindermedium_pick_all_m
000352,s3_apple_pass_1
M000352,s3_apple_pass_1_m
000353,s3_wineglass_pick_all
M000353,s3_wineglass_pick_all_m
000354,s3_eyeglasses_clean_1
M000354,s3_eyeglasses_clean_1_m
000355,s3_doorknob_use_1
M000355,s3_doorknob_use_1_m
000356,s3_waterbottle_pass_1
M000356,s3_waterbottle_pass_1_m
000357,s3_flashlight_pass_1
M000357,s3_flashlight_pass_1_m
000358,s3_airplane_pick_all
M000358,s3_airplane_pick_all_m
000359,s3_apple_eat_1
M000359,s3_apple_eat_1_m
000360,s3_cubesmall_inspect_1
M000360,s3_cubesmall_inspect_1_m
000361,s3_mug_drink_1
M000361,s3_mug_drink_1_m
000362,s3_eyeglasses_wear_1
M000362,s3_eyeglasses_wear_1_m
000363,s3_cup_pour_1
M000363,s3_cup_pour_1_m
000364,s3_wineglass_pass_1
M000364,s3_wineglass_pass_1_m
000365,s3_duck_inspect_1
M000365,s3_duck_inspect_1_m
000366,s3_hammer_use_1
M000366,s3_hammer_use_1_m
000367,s3_airplane_pass_1
M000367,s3_airplane_pass_1_m
000368,s3_lightbulb_screw_1
M000368,s3_lightbulb_screw_1_m
000369,s3_waterbottle_drink_1
M000369,s3_waterbottle_drink_1_m
000370,s3_scissors_use_2
M000370,s3_scissors_use_2_m
000371,s3_hammer_pass_1
M000371,s3_hammer_pass_1_m
000372,s3_waterbottle_pour_2
M000372,s3_waterbottle_pour_2_m
000373,s3_bowl_drink_2
M000373,s3_bowl_drink_2_m
000374,s3_scissors_pass_1
M000374,s3_scissors_pass_1_m
000375,s3_stapler_pass_1
M000375,s3_stapler_pass_1_m
000376,s3_bowl_drink_1
M000376,s3_bowl_drink_1_m
000377,s3_torusmedium_inspect_1
M000377,s3_torusmedium_inspect_1_m
000378,s3_torusmedium_pass_1
M000378,s3_torusmedium_pass_1_m
000379,s3_spherelarge_inspect_1
M000379,s3_spherelarge_inspect_1_m
000380,s3_cubelarge_pick_all
M000380,s3_cubelarge_pick_all_m
000381,s3_knife_pick_all
M000381,s3_knife_pick_all_m
000382,s3_flute_play_1
M000382,s3_flute_play_1_m
000383,s3_cup_pass_1
M000383,s3_cup_pass_1_m
000384,s3_piggybank_use_1
M000384,s3_piggybank_use_1_m
000385,s3_stamp_pick_all
M000385,s3_stamp_pick_all_m
000386,s3_scissors_use_1
M000386,s3_scissors_use_1_m
000387,s3_camera_takepicture_2
M000387,s3_camera_takepicture_2_m
000388,s3_mug_offhand_1
M000388,s3_mug_offhand_1_m
000389,s3_cubelarge_offhand_1
M000389,s3_cubelarge_offhand_1_m
000390,s3_watch_set_1
M000390,s3_watch_set_1_m
000391,s3_toruslarge_pass_1
M000391,s3_toruslarge_pass_1_m
000392,s3_mouse_use_1
M000392,s3_mouse_use_1_m
000393,s3_toothbrush_brush_1
M000393,s3_toothbrush_brush_1_m
000394,s3_pyramidlarge_pass_1
M000394,s3_pyramidlarge_pass_1_m
000395,s3_cup_pick_all
M000395,s3_cup_pick_all_m
000396,s3_airplane_fly_1
M000396,s3_airplane_fly_1_m
000397,s3_stamp_pass_1
M000397,s3_stamp_pass_1_m
000398,s3_apple_pick_all
